label_idx,class_id,binomial_name,MIVS,image_count
0,9,Achalinus rufescens,0,91
1,14,Acrochordus granulatus,0,152
2,40,Ahaetulla fusca,0,65
3,47,Ahaetulla prasina,0,565
4,66,Amphiesma stolatum,0,368
5,182,Boiga cyanea,0,218
6,184,Boiga dendrophila,0,177
7,185,Boiga drapiezii,0,105
8,190,Boiga jaspidea,0,90
9,191,Boiga kraepelini,0,212
10,194,Boiga multomaculata,0,284
11,198,Boiga siamensis,0,104
12,257,Bungarus candidus,1,280
13,259,Bungarus fasciatus,1,430
14,260,Bungarus flaviceps,1,63
15,261,Bungarus multicinctus,1,265
16,274,Calamaria pavimentata,0,132
17,277,Calamaria septentrionalis,0,50
18,280,Calliophis intestinalis,1,188
19,281,Calliophis maculiceps,0,66
20,285,Calloselasma rhodostoma,1,173
21,306,Cerberus schneiderii,0,211
22,345,Chrysopelea ornata,0,473
23,354,Coelognathus flavolineatus,0,182
24,356,Coelognathus radiatus,0,397
25,457,Cylindrophis jodiae,0,156
26,461,Cylindrophis ruffus,0,98
27,470,Deinagkistrodon acutus,1,105
28,496,Dendrelaphis ngansonensis,0,59
29,499,Dendrelaphis pictus,0,593
30,504,Dendrelaphis subocularis,0,100
31,578,Dryophiops rubescens,0,117
32,612,Elaphe carinata,0,176
33,622,Elaphe taeniura,0,282
34,633,Emydocephalus annulatus,0,79
35,635,Enhydris enhydris,0,246
36,697,Euprepiophis mandarinus,0,59
37,704,Fordonia leucobalia,0,56
38,707,Fowlea flavipunctata,0,424
39,711,Fowlea piscator,0,268
40,750,Gonyosoma oxycephalum,0,350
41,771,Hebius sauteri,0,95
42,800,Homalopsis buccata,0,130
43,801,Homalopsis mereljcoxi,0,57
44,814,Hydrophis curtus,0,70
45,820,Hydrophis ornatus,0,100
46,822,Hydrophis platurus,0,328
47,823,Hydrophis schistosus,0,102
48,849,Indotyphlops braminus,0,1122
49,887,Laticauda colubrina,0,398
50,951,Lycodon capucinus,0,555
51,953,Lycodon davisonii,0,67
52,956,Lycodon flavozonatus,0,94
53,957,Lycodon futsingensis,0,126
54,959,Lycodon laoensis,0,131
55,965,Lycodon rufozonatus,0,289
56,966,Lycodon ruhstrati,0,148
57,1004,Malayopython reticulatus,0,438
58,1105,Myrrophis chinensis,0,96
59,1110,Naja atra,1,262
60,1113,Naja kaouthia,1,206
61,1126,Naja siamensis,1,154
62,1168,Oligodon cinereus,0,68
63,1172,Oligodon fasciolatus,0,218
64,1173,Oligodon formosanus,0,221
65,1182,Oligodon taeniatus,0,120
66,1190,Ophiophagus hannah,1,486
67,1193,Opisthotropis andersonii,0,106
68,1196,Opisthotropis lateralis,0,66
69,1198,Oreocryptophis porphyraceus,0,275
70,1201,Ovophis makazayazaya,0,67
71,1202,Ovophis monticola,0,77
72,1204,Ovophis tonkinensis,0,58
73,1243,Pareas berdmorei,0,97
74,1245,Pareas carinatus,0,216
75,1247,Pareas formosensis,0,101
76,1252,Pareas margaritophorus,0,296
77,1329,Protobothrops jerdonii,1,39
78,1330,Protobothrops mucrosquamatus,1,292
79,1334,Psammodynastes pulverulentus,0,698
80,1402,Pseudoxenodon macrops,0,83
81,1408,Ptyas carinata,0,120
82,1409,Ptyas dhumnades,0,184
83,1412,Ptyas korros,0,557
84,1413,Ptyas major,0,203
85,1414,Ptyas mucosa,0,569
86,1418,Python bivittatus,0,366
87,1438,Rhabdophis chrysargos,0,196
88,1441,Rhabdophis helleri,0,195
89,1446,Rhabdophis nigrocinctus,0,81
90,1449,Rhabdophis siamensis,0,147
91,1452,Rhabdophis tigrinus,1,376
92,1506,Sibynophis chinensis,0,206
93,1507,Sibynophis collaris,0,82
94,1509,Sibynophis melanocephalus,0,51
95,1520,Sinomicrurus macclellandi,0,91
96,1662,Trimeresurus albolabris,1,421
97,1664,Trimeresurus cardamomensis,0,86
98,1668,Trimeresurus gumprechti,1,57
99,1669,Trimeresurus guoi,1,32
100,1674,Trimeresurus macrops,1,92
101,1680,Trimeresurus rubeus,1,93
102,1685,Trimeresurus stejnegeri,1,278
103,1688,Trimeresurus vogeli,1,145
104,1690,Trimerodytes aequifasciatus,0,97
105,1693,Trimerodytes percarinatus,0,188
106,1714,Tropidolaemus wagleri,1,292
107,1756,Xenochrophis trianguligerus,0,187
108,1769,Xenopeltis unicolor,0,377
