binomial_name,vietnamese_name,family,genus,MIVS
Achalinus rufescens,Rắn xe điếu nâu,Xenodermidae,Achalinus,0
Acrochordus granulatus,"Rắn rầm ri cá, Đẻn cườm",Acrochordidae,Acrochordus,0
Ahaetulla fusca,"Rắn roi mõm nhọn, Rắn lục kim",Colubridae,Ahaetulla,0
Ahaetulla prasina,"Rắn roi thường, Rắn lục kim",Colubridae,Ahaetulla,0
Amphiesma stolatum,"Rắn sãi cỏ, Rắn sãi thường",Colubridae,Amphiesma,0
Boiga cyanea,Rắn rào xanh,Colubridae,Boiga,0
Boiga dendrophila,Rắn rào khoang vàng,Colubridae,Boiga,0
Boiga drapiezii,Rắn mèo đốm trắng,Colubridae,Boiga,0
Boiga jaspidea,Rắn rào ngọc bích,Colubridae,Boiga,0
Boiga kraepelini,"Rắn rào đầu vuông, Rắn rào K-ra-pe-lin",Colubridae,Boiga,0
Boiga multomaculata,Rắn rào đốm,Colubridae,Boiga,0
Boiga siamensis,Rắn rào Xiêm,Colubridae,Boiga,0
Bungarus candidus,"Rắn cạp nia Nam, Rắn mai bạc",Elapidae,Bungarus,1
Bungarus fasciatus,Rắn cạp nong,Elapidae,Bungarus,1
Bungarus flaviceps,Rắn cạp nong đầu đỏ,Elapidae,Bungarus,1
Bungarus multicinctus,Rắn cạp nia bắc,Elapidae,Bungarus,1
Calamaria pavimentata,Rắn mai gầm lát,Calamariidae,Calamaria,0
Calamaria septentrionalis,Rắn mai gầm bắc,Calamariidae,Calamaria,0
Calliophis intestinalis,Rắn lá khô sọc,Elapidae,Calliophis,1
Calliophis maculiceps,"Rắn lá khô đốm nhỏ, Rắn vú nàng",Elapidae,Calliophis,0
Calloselasma rhodostoma,"Rắn chàm quạp, Rắn khô mộc, Rắn hổ bướm, Rắn cà tên, Rắn lục nưa",Viperidae,Calloselasma,1
Cerberus schneiderii,"Rắn Séc be, Rắn nước mặt chó, Đẻn vuông, Đẻn cá",Homalopsidae,Cerberus,0
Chrysopelea ornata,"Rắn cườm, Rắn lục mè",Colubridae,Chrysopelea,0
Coelognathus flavolineatus,Rắn sọc vàng,Colubridae,Coelognathus,0
Coelognathus radiatus,"Rắn sọc dưa, Rắn hổ ngựa",Colubridae,Coelognathus,0
Cylindrophis jodiae,"Rắn trun, Rắn hai đầu",Cylindrophiidae,Cylindrophis,0
Cylindrophis ruffus,Rắn trun,Cylindrophiidae,Cylindrophis,0
Deinagkistrodon acutus,"Rắn lục mũi hếch, 100 bước, Bách bộ xà",Viperidae,Deinagkistrodon,1
Dendrelaphis ngansonensis,Rắn leo cây Ngân Sơn,Colubridae,Dendrelaphis,0
Dendrelaphis pictus,Rắn leo cây thường,Colubridae,Dendrelaphis,0
Dendrelaphis subocularis,Rắn leo cây mắt,Colubridae,Dendrelaphis,0
Dryophiops rubescens,"Rắn dây bụng gờ, Rắn dây nâu",Colubridae,Dryophiops,0
Elaphe carinata,"Rắn sọc gờ, Rắn chuột vua",Colubridae,Elaphe,0
Elaphe taeniura,"Rắn sọc đuôi, Rắn thạch anh, Rắn vàng anh",Colubridae,Elaphe,0
Emydocephalus annulatus,Đẻn đầu rùa,Elapidae,Emydocephalus,0
Enhydris enhydris,Rắn bông súng,Homalopsidae,Enhydris,0
Euprepiophis mandarinus,Rắn sọc quan,Colubridae,Euprepiophis,0
Fordonia leucobalia,"Rắn ăn cua, Rắn bông lau nước, Đẻn còng",Homalopsidae,Fordonia,0
Fowlea flavipunctata,Rắn nước đốm vàng,Colubridae,Fowlea,0
