binomial_name,image_count,class_id,MIVS
Ophiophagus hannah,486,1190,1
Bungarus fasciatus,430,259,1
Trimeresurus albolabris,421,1662,1
Rhabdophis tigrinus,376,1452,1
Tropidolaemus wagleri,292,1714,1
Protobothrops mucrosquamatus,292,1330,1
Bungarus candidus,280,257,1
Trimeresurus stejnegeri,278,1685,1
Bungarus multicinctus,265,261,1
Naja atra,262,1110,1
Naja kaouthia,206,1113,1
Calliophis intestinalis,188,280,1
Calloselasma rhodostoma,173,285,1
Naja siamensis,154,1126,1
Trimeresurus vogeli,145,1688,1
Deinagkistrodon acutus,105,470,1
Trimeresurus rubeus,93,1680,1
Trimeresurus macrops,92,1674,1
Bungarus flaviceps,63,260,1
Trimeresurus gumprechti,57,1668,1
Protobothrops jerdonii,39,1329,1
Trimeresurus guoi,32,1669,1
Indotyphlops braminus,1122,849,0
Psammodynastes pulverulentus,698,1334,0
Dendrelaphis pictus,593,499,0
Ptyas mucosa,569,1414,0
Ahaetulla prasina,565,47,0
Ptyas korros,557,1412,0
Lycodon capucinus,555,951,0
Chrysopelea ornata,473,345,0
Malayopython reticulatus,438,1004,0
Fowlea flavipunctata,424,707,0
Laticauda colubrina,398,887,0
Coelognathus radiatus,397,356,0
Xenopeltis unicolor,377,1769,0
Amphiesma stolatum,368,66,0
Python bivittatus,366,1418,0
Gonyosoma oxycephalum,350,750,0
Hydrophis platurus,328,822,0
Pareas margaritophorus,296,1252,0
Lycodon rufozonatus,289,965,0
Boiga multomaculata,284,194,0
Elaphe taeniura,282,622,0
Oreocryptophis porphyraceus,275,1198,0
Fowlea piscator,268,711,0
Enhydris enhydris,246,635,0
Oligodon formosanus,221,1173,0
Boiga cyanea,220,182,0
Oligodon fasciolatus,218,1172,0
Pareas carinatus,216,1245,0
Boiga kraepelini,212,191,0
Cerberus schneiderii,211,306,0
Sibynophis chinensis,206,1506,0
Ptyas major,203,1413,0
Rhabdophis chrysargos,196,1438,0
Rhabdophis helleri,195,1441,0
Trimerodytes percarinatus,188,1693,0
Xenochrophis trianguligerus,187,1756,0
Ptyas dhumnades,184,1409,0
Coelognathus flavolineatus,182,354,0
Boiga dendrophila,177,184,0
Elaphe carinata,176,612,0
Cylindrophis jodiae,156,457,0
Acrochordus granulatus,152,14,0
Lycodon ruhstrati,148,966,0
Rhabdophis siamensis,147,1449,0
Calamaria pavimentata,132,274,0
Lycodon laoensis,131,959,0
Homalopsis buccata,130,800,0
Lycodon futsingensis,126,957,0
Oligodon taeniatus,120,1182,0
Ptyas carinata,120,1408,0
Dryophiops rubescens,117,578,0
Opisthotropis andersonii,106,1193,0
Boiga drapiezii,105,185,0
Boiga siamensis,104,198,0
Hydrophis schistosus,102,823,0
Pareas formosensis,101,1247,0
Dendrelaphis subocularis,100,504,0
Hydrophis ornatus,100,820,0
Cylindrophis ruffus,98,461,0
Pareas berdmorei,97,1243,0
Trimerodytes aequifasciatus,97,1690,0
Myrrophis chinensis,96,1105,0
Hebius sauteri,95,771,0
Lycodon flavozonatus,94,956,0
Achalinus rufescens,91,9,0
Sinomicrurus macclellandi,91,1520,0
Boiga jaspidea,90,190,0
Trimeresurus cardamomensis,86,1664,0
Pseudoxenodon macrops,84,1402,0
Sibynophis collaris,82,1507,0
Rhabdophis nigrocinctus,81,1446,0
Emydocephalus annulatus,79,633,0
Ovophis monticola,77,1202,0
Hydrophis curtus,70,814,0
Oligodon cinereus,68,1168,0
Ovophis makazayazaya,67,1201,0
Lycodon davisonii,67,953,0
Opisthotropis lateralis,66,1196,0
Calliophis maculiceps,66,281,0
Ahaetulla fusca,65,40,0
Dendrelaphis ngansonensis,59,496,0
Euprepiophis mandarinus,59,697,0
Ovophis tonkinensis,58,1204,0
Homalopsis mereljcoxi,57,801,0
Fordonia leucobalia,56,704,0
Sibynophis melanocephalus,51,1509,0
Calamaria septentrionalis,50,277,0
