observation_id,endemic,binomial_name,code,image_path,class_id,subset,label_idx,MIVS
37280129,False,Amphiesma stolatum,TH,1990/Amphiesma_stolatum/59067968.jpg,66,train,4,0
37280100,False,Oligodon taeniatus,TH,1990/Oligodon_taeniatus/59067926.jpg,1182,train,65,0
37315747,False,Ophiophagus hannah,TH,1992/Ophiophagus_hannah/59128457.jpg,1190,train,66,1
215608,False,Ophiophagus hannah,HK,1999/Ophiophagus_hannah/271907.jpg,1190,train,66,1
64057714,False,Tropidolaemus wagleri,MY,2000/Tropidolaemus_wagleri/102919227.jpg,1714,train,106,1
1941470,False,Ophiophagus hannah,SG,2000/Ophiophagus_hannah/2377109.jpg,1190,train,66,1
104055175,False,Ophiophagus hannah,TH,2000/Ophiophagus_hannah/174301029.jpg,1190,train,66,1
18282714,True,Elaphe taeniura,TW,2000/Elaphe_taeniura/27931189.jpg,622,train,33,0
104055176,False,Rhabdophis nigrocinctus,TH,2000/Rhabdophis_nigrocinctus/174301036.jpg,1446,train,89,0
85087789,False,Hebius sauteri,TW,2001/Hebius_sauteri/139940219.jpg,771,train,41,0
42229413,False,Malayopython reticulatus,MY,2001/Malayopython_reticulatus/67040367.jpeg,1004,train,57,0
64668513,False,Lycodon davisonii,TH,2002/Lycodon_davisonii/103999913.jpg,953,train,51,0
64669667,False,Rhabdophis chrysargos,MY,2002/Rhabdophis_chrysargos/104002001.jpg,1438,train,87,0
4953036,False,Laticauda colubrina,TL,2003/Laticauda_colubrina/8155048.jpeg,887,train,49,0
4953036,False,Laticauda colubrina,TL,2003/Laticauda_colubrina/8155160.jpeg,887,train,49,0
18487316,False,Malayopython reticulatus,TL,2003/Malayopython_reticulatus/28272088.jpeg,1004,train,57,0
13257675,False,Indotyphlops braminus,TW,2003/Indotyphlops_braminus/19401855.jpeg,849,train,48,0
42336221,False,Sinomicrurus macclellandi,TW,2003/Sinomicrurus_macclellandi/67215293.jpg,1520,train,95,0
42336221,False,Sinomicrurus macclellandi,TW,2003/Sinomicrurus_macclellandi/67217259.jpg,1520,train,95,0
