observation_id,binomial_name,image_path,subset,code,endemic,class_id
HM 1954,Thamnophis butleri,HMP/Thamnophis_butleri/2408.jpg,train-hm,US,False,1619
HM 1955,Thamnophis butleri,HMP/Thamnophis_butleri/2409.jpg,train-hm,US,False,1619
HM 23990,Thamnophis butleri,HMP/Thamnophis_butleri/39886.jpg,train-hm,US,False,1619
HM 23991,Thamnophis butleri,HMP/Thamnophis_butleri/39887.jpg,train-hm,US,False,1619
HM 23991,Thamnophis butleri,HMP/Thamnophis_butleri/39888.jpg,train-hm,US,False,1619
HM 24477,Thamnophis butleri,HMP/Thamnophis_butleri/40602.jpg,train-hm,US,False,1619
HM 25981,Thamnophis butleri,HMP/Thamnophis_butleri/42752.jpg,train-hm,US,False,1619
HM 25981,Thamnophis butleri,HMP/Thamnophis_butleri/42753.jpg,train-hm,US,False,1619
HM 25981,Thamnophis butleri,HMP/Thamnophis_butleri/42754.jpg,train-hm,US,False,1619
HM 48195,Thamnophis butleri,HMP/Thamnophis_butleri/72304.jpg,train-hm,US,False,1619
HM 48203,Thamnophis butleri,HMP/Thamnophis_butleri/72311.jpg,train-hm,US,False,1619
HM 49347,Thamnophis butleri,HMP/Thamnophis_butleri/73750.jpg,train-hm,US,False,1619
HM 50709,Thamnophis butleri,HMP/Thamnophis_butleri/74958.jpg,train-hm,US,False,1619
HM 50710,Thamnophis butleri,HMP/Thamnophis_butleri/74959.jpg,train-hm,US,False,1619
HM 56529,Thamnophis butleri,HMP/Thamnophis_butleri/71710.jpg,train-hm,US,False,1619
HM 91524,Thamnophis butleri,HMP/Thamnophis_butleri/129206.jpg,train-hm,US,False,1619
HM 91525,Thamnophis butleri,HMP/Thamnophis_butleri/129207.jpg,train-hm,US,False,1619
HM 100314,Thamnophis butleri,HMP/Thamnophis_butleri/146450.jpg,train-hm,US,False,1619
HM 119567,Thamnophis butleri,HMP/Thamnophis_butleri/176098.jpg,train-hm,US,False,1619
HM 137604,Thamnophis butleri,HMP/Thamnophis_butleri/201228.jpg,train-hm,CA,False,1619
HM 137605,Thamnophis butleri,HMP/Thamnophis_butleri/201229.jpg,train-hm,CA,False,1619
HM 137606,Thamnophis butleri,HMP/Thamnophis_butleri/201230.jpg,train-hm,CA,False,1619
HM 137607,Thamnophis butleri,HMP/Thamnophis_butleri/201231.jpg,train-hm,CA,False,1619
HM 137609,Thamnophis butleri,HMP/Thamnophis_butleri/201233.jpg,train-hm,CA,False,1619
HM 137617,Thamnophis butleri,HMP/Thamnophis_butleri/201242.jpg,train-hm,CA,False,1619
HM 137618,Thamnophis butleri,HMP/Thamnophis_butleri/201243.jpg,train-hm,CA,False,1619
HM 137621,Thamnophis butleri,HMP/Thamnophis_butleri/201246.jpg,train-hm,CA,False,1619
HM 137625,Thamnophis butleri,HMP/Thamnophis_butleri/201250.jpg,train-hm,CA,False,1619
HM 137626,Thamnophis butleri,HMP/Thamnophis_butleri/201251.jpg,train-hm,CA,False,1619
HM 137629,Thamnophis butleri,HMP/Thamnophis_butleri/201254.jpg,train-hm,CA,False,1619
HM 137630,Thamnophis butleri,HMP/Thamnophis_butleri/201255.jpg,train-hm,CA,False,1619
HM 137631,Thamnophis butleri,HMP/Thamnophis_butleri/201256.jpg,train-hm,CA,False,1619
