observation_id,captive,endemic,binomial_name,code,image_path,class_id,subset
125279,False,False,Psammophis namibensis,ZA,1992/Psammophis_namibensis/177357.JPG,1347,val
2393541,False,False,Lampropeltis annulata,US,1993/Lampropeltis_annulata/2666703.jpg,861,val
122004,False,False,Atractus occipitoalbus,EC,1994/Atractus_occipitoalbus/174083.JPG,136,val
117794,False,False,Psomophis genimaculatus,PY,1995/Psomophis_genimaculatus/168329.JPG,1405,val
117810,False,False,Phalotris tricolor,PY,1996/Phalotris_tricolor/168351.JPG,1260,val
95567655,False,True,Pituophis melanoleucus,US,1996/Pituophis_melanoleucus/158670950.jpg,1295,val
22377865,False,False,Naja pallida,TZ,1996/Naja_pallida/34658630.jpg,1121,val
22377865,False,False,Naja pallida,TZ,1996/Naja_pallida/34658776.jpg,1121,val
147233,False,False,Aparallactus guentheri,TZ,1997/Aparallactus_guentheri/203061.JPG,81,val
86298424,False,False,Drymobius margaritiferus,US,1997/Drymobius_margaritiferus/142144012.jpg,573,val
1529817,False,False,Lampropeltis alterna,MX,1997/Lampropeltis_alterna/1895466.jpg,860,val
1529817,False,False,Lampropeltis alterna,MX,1997/Lampropeltis_alterna/1895502.jpg,860,val
1529817,False,False,Lampropeltis alterna,MX,1997/Lampropeltis_alterna/1895508.jpg,860,val
22378990,False,True,Atheris ceratophora,TZ,1997/Atheris_ceratophora/34660381.jpg,109,val
68293256,False,False,Bitis arietans,ZW,1997/Bitis_arietans/110544634.jpg,154,val
37207439,False,False,Lampropeltis alterna,US,1998/Lampropeltis_alterna/58940299.jpg,860,val
8954122,False,False,Oxyrhopus rhombifer,BO,1998/Oxyrhopus_rhombifer/12067907.jpg,1226,val
116158,False,False,Micrurus langsdorffi,PE,1999/Micrurus_langsdorffi/166078.JPG,1064,val
530571,False,False,Eirenis levantinus,LB,1999/Eirenis_levantinus/683649.JPG,604,val
530643,False,False,Montivipera bornmuelleri,LB,1999/Montivipera_bornmuelleri/683665.JPG,1090,val
530643,False,False,Montivipera bornmuelleri,LB,1999/Montivipera_bornmuelleri/683666.JPG,1090,val
36727303,False,True,Macrovipera lebetinus,LB,1999/Macrovipera_lebetinus/58101834.jpg,998,val
36727303,False,True,Macrovipera lebetinus,LB,1999/Macrovipera_lebetinus/58102091.jpg,998,val
136441,False,True,Pituophis ruthveni,US,2000/Pituophis_ruthveni/189764.jpg,1296,val
8289225,False,False,Dipsadoboa unicolor,UG,2000/Dipsadoboa_unicolor/10996621.jpg,533,val
2899595,False,False,Lampropeltis knoblochi,US,2001/Lampropeltis_knoblochi/4557619.jpg,870,val
21963690,False,False,Trimorphodon quadruplex,NI,2001/Trimorphodon_quadruplex/34039133.jpg,1700,val
21963690,False,False,Trimorphodon quadruplex,NI,2001/Trimorphodon_quadruplex/34039482.jpg,1700,val
35255889,False,True,Tantilla relicta,US,2002/Tantilla_relicta/55575294.jpg,1594,val
2491015,False,False,Psammophylax variabilis,TZ,2002/Psammophylax_variabilis/2794468.jpg,1360,val
54943,False,False,Eirenis punctatolineatus,AM,2002/Eirenis_punctatolineatus/85992.jpg,608,val
35396091,False,False,Porthidium ophryomegas,NI,2002/Porthidium_ophryomegas/55810121.jpeg,1317,val
71387069,False,False,Psomophis joberti,BR,2002/Psomophis_joberti/116219768.jpeg,1406,val
35074903,False,False,Dendrophidion vinitor,HN,2002/Dendrophidion_vinitor/55286304.jpeg,522,val
124866,False,True,Hypsiglena slevini,MX,2002/Hypsiglena_slevini/177029.JPG,835,val
67049114,False,False,Macroprotodon brevis,MA,2002/Macroprotodon_brevis/108232167.jpg,995,val
