binomial_name,status,sections,url
Achalinus rufescens,ok,distribution,https://reptile-database.reptarium.cz/Achalinus/rufescens
Boiga dendrophila,ok,"distribution,habitat_behavior",https://reptile-database.reptarium.cz/Boiga/dendrophila
Boiga drapiezii,ok,"distribution,habitat_behavior,identification",https://reptile-database.reptarium.cz/Boiga/drapiezii
Bungarus flaviceps,ok,"distribution,identification,venom_danger",https://reptile-database.reptarium.cz/Bungarus/flaviceps
Calliophis intestinalis,ok,"distribution,identification,venom_danger",https://reptile-database.reptarium.cz/Calliophis/intestinalis
Emydocephalus annulatus,ok,"distribution,habitat_behavior,identification,venom_danger",https://reptile-database.reptarium.cz/Emydocephalus/annulatus
Fowlea piscator,ok,"distribution,identification",https://reptile-database.reptarium.cz/Fowlea/piscator
Hydrophis curtus,ok,"distribution,habitat_behavior,identification,venom_danger",https://reptile-database.reptarium.cz/Hydrophis/curtus
Hydrophis ornatus,ok,"distribution,habitat_behavior,identification,venom_danger",https://reptile-database.reptarium.cz/Hydrophis/ornatus
Hydrophis platurus,ok,"distribution,habitat_behavior,identification,venom_danger",https://reptile-database.reptarium.cz/Hydrophis/platurus
Hydrophis schistosus,ok,"distribution,habitat_behavior,identification,venom_danger",https://reptile-database.reptarium.cz/Hydrophis/schistosus
Pareas carinatus,ok,"distribution,habitat_behavior,identification",https://reptile-database.reptarium.cz/Pareas/carinatus
Rhabdophis tigrinus,ok,"distribution,venom_danger",https://reptile-database.reptarium.cz/Rhabdophis/tigrinus
Sibynophis melanocephalus,ok,"distribution,identification",https://reptile-database.reptarium.cz/Sibynophis/melanocephalus
Trimeresurus gumprechti,ok,"distribution,habitat_behavior,identification,venom_danger",https://reptile-database.reptarium.cz/Trimeresurus/gumprechti
Trimeresurus macrops,ok,"distribution,habitat_behavior,identification,venom_danger",https://reptile-database.reptarium.cz/Trimeresurus/macrops
Tropidolaemus wagleri,ok,"distribution,identification,venom_danger",https://reptile-database.reptarium.cz/Tropidolaemus/wagleri
Xenochrophis trianguligerus,ok,"distribution,identification",https://reptile-database.reptarium.cz/Xenochrophis/trianguligerus
