binomial_name,reason
Achalinus rufescens,species_url_not_found
Boiga dendrophila,species_url_not_found
Boiga drapiezii,species_url_not_found
Bungarus flaviceps,species_url_not_found
Calliophis intestinalis,species_url_not_found
Emydocephalus annulatus,species_url_not_found
Fowlea piscator,species_url_not_found
Hydrophis curtus,species_url_not_found
Hydrophis ornatus,species_url_not_found
Hydrophis platurus,species_url_not_found
Hydrophis schistosus,species_url_not_found
Pareas carinatus,species_url_not_found
Rhabdophis tigrinus,species_url_not_found
Sibynophis melanocephalus,species_url_not_found
Trimeresurus gumprechti,species_url_not_found
Trimeresurus macrops,species_url_not_found
Tropidolaemus wagleri,species_url_not_found
Xenochrophis trianguligerus,species_url_not_found
